what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1391609936077
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1391609936078
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1391609936079
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1391609936079
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1391609936080
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1391609936081
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1391609936081
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1391609936082
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1391609936084
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1391609936085
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1391609936086
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1391609936087
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1391609936087
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1391609936088
os,sysinfo,,,"win32",1391609936093
arch,sysinfo,,,"x86_64",1391609936093
ws,sysinfo,,,"win32",1391609936093
locale,sysinfo,,,"en_US",1391609936093
processors,sysinfo,,,"2",1391609936093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1391609936093
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1391609936093
java.specification.name,sysinfo,,,"Java Platform API Specification",1391609936093
java.specification.vendor,sysinfo,,,"Oracle Corporation",1391609936093
java.specification.version,sysinfo,,,"1.7",1391609936093
java.vendor,sysinfo,,,"Oracle Corporation",1391609936093
java.version,sysinfo,,,"1.7.0_45",1391609936093
java.vm.info,sysinfo,,,"mixed mode",1391609936093
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1391609936093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1391609936093
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1391609936093
java.vm.specification.version,sysinfo,,,"1.7",1391609936093
java.vm.vendor,sysinfo,,,"Oracle Corporation",1391609936093
java.vm.version,sysinfo,,,"24.45-b08",1391609936093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1391609937161
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1391609937165
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1391609950982
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1391609950987
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1391609951014
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1391609951309
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1391609951354
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1391609952534
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1391609952536
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1391609952537
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1391609952572
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.4.v201201131116,"org.eclipse.datatools.connectivity.sqm.core",1391609952645
